Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Plot Area,Ready To Move,7Th Phase Jp Nagar,6 Bedroom,Grrvagr,650,6.0,2.0,80.0,4
Super Built-Up Area,18-Mar,Sarjapur Road,2 Bhk,Sjityaz,1242,2.0,1.0,75.0,4
Super Built-Up Area,18-Mar,Yelahanka,3 Bhk,Miitat,1792,3.0,1.0,104.0,4
Super Built-Up Area,18-Aug,Garebhavipalya,3 Bhk,Grrvagr,1275,3.0,2.0,55.0,4
Plot Area,Ready To Move,8Th Phase Jp Nagar,6 Bedroom,Grrvagr,1200,6.0,1.0,260.0,4
Plot Area,Ready To Move,7Th Block Jayanagar,3 Bedroom,Grrvagr,2400,3.0,0.0,408.0,4
Super Built-Up Area,Ready To Move,Electronic City,1 Bhk,Sidin J,605,1.0,1.0,22.0,0
Plot Area,Ready To Move,Hbr Layout,4 Bedroom,Grrvagr,1200,4.0,2.0,115.0,4
Super Built-Up Area,18-Dec,Electronics City Phase 1,3 Bhk,Shitt S,1450,3.0,2.0,79.0,4
Plot Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,1232,3.0,1.0,96.0,4
Plot Area,Ready To Move,Laggere,5 Bedroom,Grrvagr,1800,5.0,0.0,70.0,4
Built-Up Area,Ready To Move,Sidedahalli,1 Bedroom,Grrvagr,900,1.0,1.0,52.3,0
Super Built-Up Area,Ready To Move,Kaggadasapura,2 Bhk,Grrvagr,1200,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Kadugodi,4 Bhk,Grrvagr,2100,3.0,2.0,204.0,4
Super Built-Up Area,18-Aug,Uttarahalli,2 Bhk,Dsera S,1065,2.0,1.0,42.6,4
Super Built-Up Area,Ready To Move,Ags Layout,2 Bhk,Grrvagr,1075,2.0,1.0,48.38,4
Plot Area,Ready To Move,Anand Nagar,6 Bedroom,Grrvagr,1508,5.0,2.0,240.0,4
Super Built-Up Area,Ready To Move,Lake City,2 Bhk,Prdenth,780,2.0,1.0,31.0,4
Super Built-Up Area,18-Oct,Ramagondanahalli,3 Bhk,Dneremo,1910,3.0,2.0,150.0,4
Built-Up Area,Ready To Move,Cox Town,2 Bhk,Grrvagr,1280,2.0,1.0,120.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1530,3.0,2.0,64.0,4
Built-Up Area,Ready To Move,Bhoganhalli,4 Bhk,Pride S,2439,5.0,2.0,170.0,4
Super Built-Up Area,Ready To Move,Varsova Layout,2 Bhk,Inhtshe,1088,2.0,2.0,43.5,4
Super Built-Up Area,18-Dec,Raja Rajeshwari Nagar,3 Bhk,Prllsan,1587,3.0,1.0,73.8,4
Built-Up Area,Ready To Move,Kaggadasapura,2 Bhk,Grrvagr,1045,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Prensya,1304,2.0,1.0,69.97,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Dse 2Ie,1100,2.0,2.0,65.0,4
Super Built-Up Area,18-May,Hennur Road,3 Bhk,Puachal,1482,2.0,1.0,68.9,4
Built-Up Area,18-Mar,Devanahalli,3 Bedroom,Grrvagr,2125,3.0,1.0,107.0,4
Super Built-Up Area,Ready To Move,Varthur,5 Bhk,Grrvagr,1000,4.0,0.0,65.0,4
Super Built-Up Area,Ready To Move,Parappana Agrahara,2 Bhk,Grrvagr,1194,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Kengeri,2 Bhk,Sravema,1200,2.0,3.0,42.0,4
Super Built-Up Area,Ready To Move,Volagerekallahalli,2 Bhk,Psteras,1070,2.0,2.0,32.99,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Bhentne,1100,2.0,1.0,46.5,4
Built-Up Area,Ready To Move,Whitefield,3 Bhk,Hoensti,1270,2.0,2.0,65.0,4
Super Built-Up Area,Ready To Move,Marasandra,2 Bhk,Grrvagr,1000,2.0,1.0,31.0,4
Super Built-Up Area,Ready To Move,Vittasandra,2 Bhk,Prlla C,1246,2.0,1.0,69.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1529,3.0,3.0,51.77,4
Super Built-Up Area,Ready To Move,Thanisandra,2 Bhk,Menueno,1185,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Gubbalala,2 Bhk,Grrvagr,1060,2.0,1.0,46.0,4
Super Built-Up Area,Ready To Move,Ananth Nagar,3 Bhk,Patri M,1319,3.0,1.0,37.75,4
Super Built-Up Area,Ready To Move,Kaikondrahalli,2 Bhk,Srsica,991,2.0,0.0,64.0,4
Super Built-Up Area,Ready To Move,Thanisandra,1 Bhk,Pronyt,662,1.0,0.0,38.0,0
Built-Up Area,Ready To Move,Nandini Layout,2 Bedroom,Grrvagr,1200,2.0,1.0,110.0,4
Plot Area,18-Apr,Tc.Palya,3 Bedroom,Grrvagr,1400,2.0,1.0,78.0,4
Super Built-Up Area,Ready To Move,Talaghattapura,3 Bhk,Grrvagr,1575,3.0,2.0,80.0,4
Plot Area,Ready To Move,Hosakerehalli,2 Bedroom,Grrvagr,600,2.0,0.0,65.0,4
Plot Area,Ready To Move,Electronic City,5 Bedroom,Grrvagr,717,5.0,1.0,78.0,4
Super Built-Up Area,Ready To Move,Ananth Nagar,3 Bhk,Patri M,1319,3.0,1.0,42.0,4
Plot Area,Ready To Move,Brookefield,3 Bedroom,Sotus L,2000,3.0,2.0,300.0,4
Plot Area,Ready To Move,9Th Phase Jp Nagar,3 Bedroom,Grrvagr,600,3.0,2.0,85.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,2 Bhk,Grrvagr,940,2.0,1.0,48.0,4
Plot Area,Ready To Move,Kodigehalli,2 Bedroom,Grrvagr,500,1.0,0.0,55.0,0
Super Built-Up Area,Ready To Move,Bharathi Nagar,2 Bhk,Reudepr,1349,2.0,2.0,56.7,4
Built-Up Area,18-Jun,Whitefield,3 Bedroom,Grrvagr,3117,3.0,2.0,261.0,4
Super Built-Up Area,Ready To Move,Hsr Layout,3 Bhk,Srisepo,1844,3.0,3.0,95.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Adeatlm,2275,4.0,2.0,185.0,4
Super Built-Up Area,18-Jul,Bannerghatta,4 Bhk,Mamespa,1791 - 4000,2.0,2.0,246.0,4
Super Built-Up Area,18-Aug,Varthur Road,2 Bhk,Grrvagr,1140,2.0,2.0,49.11,4
Plot Area,Ready To Move,Banjara Layout,3 Bedroom,Grrvagr,900,3.0,1.0,79.0,4
Super Built-Up Area,Ready To Move,Jaya Mahal Layout,3 Bhk,Nehalri,2648,3.0,3.0,238.0,4
Plot Area,Ready To Move,Judicial Layout,5 Bedroom,Grrvagr,5400,4.0,2.0,700.0,4
Super Built-Up Area,Ready To Move,Banashankari,3 Bhk,Grrvagr,1372,2.0,2.0,48.02,4
Built-Up Area,Ready To Move,Sanne Amanikere,3 Bhk,Hoxiaa,1455,2.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Grrvagr,1100,2.0,2.0,38.0,4
Super Built-Up Area,22-Jan,Vajarahalli,3 Bhk,Grrvagr,1475,3.0,1.0,80.0,4
Super Built-Up Area,18-Apr,Nagavarapalya,3 Bhk,Puonsse,1788,3.0,1.0,164.0,4
Super Built-Up Area,18-Aug,Kudlu Gate,3 Bhk,Sanzaat,1850,3.0,2.0,120.0,4
Super Built-Up Area,Ready To Move,Marathahalli,3 Bhk,Cilip J,1315,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Brooke Bond First Cross,3 Bhk,Soosea,1721,3.0,2.0,93.0,4
Super Built-Up Area,17-Nov,Sonnenahalli,2 Bhk,Skacak,1059,2.0,1.0,62.0,4
Built-Up Area,Ready To Move,Kadubeesanahalli,2 Bhk,Skesta,1184,2.0,1.0,55.0,4
Plot Area,Ready To Move,Yelahanka,7 Bedroom,Grrvagr,1400,5.0,2.0,175.0,4
Super Built-Up Area,Ready To Move,Koramangala,3 Bhk,Proodt,2223,3.0,2.0,300.0,4
Built-Up Area,Ready To Move,Kodbisanhalli,3 Bhk,Ksideas,1480,3.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Kodigehalli,2 Bhk,Raellil,635,1.0,1.0,28.0,0
Plot Area,Ready To Move,Beml Layout,2 Bedroom,Grrvagr,2400,2.0,1.0,228.0,4
Built-Up Area,Ready To Move,Jp Nagar,4 Bedroom,Grrvagr,1500,2.0,0.0,87.0,4
Super Built-Up Area,18-May,Hosa Road,2 Bhk,Sstusan,1143,2.0,1.0,34.2,4
Plot Area,Ready To Move,Sarjapur Road,4 Bedroom,Grrvagr,3200,4.0,1.0,350.0,4
Plot Area,20-Jul,Kanakpura Road,4 Bedroom,Grrvagr,3170,4.0,3.0,250.0,4
Built-Up Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4800,4.0,3.0,420.0,4
Super Built-Up Area,Ready To Move,Kothannur,3 Bhk,Grrvagr,1485,2.0,2.0,59.4,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Brway G,1640,3.0,2.0,251.0,4
Super Built-Up Area,Ready To Move,Hennur,3 Bhk,Grrvagr,1655,2.0,1.0,70.5,4
Super Built-Up Area,22-Jun,2Nd Phase Judicial Layout,2 Bhk,Grrvagr,900,2.0,2.0,41.0,4
Built-Up Area,Ready To Move,Neelamangala,2 Bhk,Grrvagr,1163,2.0,2.0,68.0,4
Carpet Area,Ready To Move,Yelahanka New Town,1 Bhk,Khatsfl,45.06Sq. Meter,2.0,1.0,18.0,4
Super Built-Up Area,Ready To Move,Hennur Road,3 Bhk,Chionco,1654,3.0,2.0,97.8,4
Super Built-Up Area,18-Apr,Pragathi Nagar,1 Bhk,Asarkia,799 - 803,1.0,0.0,33.645,0
Built-Up Area,Ready To Move,Ngef Layout,4 Bedroom,Grrvagr,2100,3.0,1.0,1000.0,4
Super Built-Up Area,18-Jan,Bellandur,3 Bhk,Nicodca,1685,3.0,3.0,101.0,4
Built-Up Area,Ready To Move,Banashankari,3 Bhk,Sksia A,1540,3.0,3.0,80.0,4
Super Built-Up Area,18-Jan,Thanisandra,2 Bhk,Bhmesy,1265,2.0,1.0,72.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Grrvagr,1200,2.0,3.0,38.4,4
Built-Up Area,Ready To Move,Amblipura,3 Bhk,Suodsac,1300,2.0,1.0,80.0,4
Super Built-Up Area,Ready To Move,Sultan Palaya,2 Bhk,Vaaldak,1009,2.0,1.0,65.0,4
Super Built-Up Area,Ready To Move,Ramamurthy Nagar Extension,3 Bhk,Grrvagr,1540,3.0,2.0,65.0,4
Built-Up Area,Ready To Move,Bellandur,3 Bhk,Grrvagr,1735,3.0,3.0,105.0,4
Plot Area,Ready To Move,Hsr Layout,4 Bedroom,Grrvagr,2500,4.0,3.0,300.0,4
Super Built-Up Area,Ready To Move,Marsur,2 Bhk,Asara S,497,1.0,1.0,20.0,0
Super Built-Up Area,Ready To Move,Hosakerehalli,3 Bhk,Taonte,2480,4.0,1.0,265.0,4
Built-Up Area,Ready To Move,Electronic City,2 Bhk,Vhistal,1142,2.0,0.0,35.0,4
Super Built-Up Area,18-May,Doctors Layout,3 Bhk,Grrvagr,1215,2.0,2.0,46.8,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,1070,2.0,1.0,48.0,4
Super Built-Up Area,18-May,Electronic City Phase Ii,2 Bhk,Sryalan,1125,2.0,1.0,32.49,4
Built-Up Area,18-Jul,Bommasandra Industrial Area,2 Bhk,Grrvagr,1125,2.0,1.0,32.49,4
Super Built-Up Area,Ready To Move,Kasavanhalli,2 Bhk,Doissa,1575,2.0,3.0,85.0,4
Super Built-Up Area,18-Dec,Hosa Road,2 Bhk,Sjerse,1360,2.0,1.0,77.61,4
Super Built-Up Area,Ready To Move,Haralur Road,3 Bhk,Grrvagr,1710,3.0,2.0,85.0,4
Super Built-Up Area,18-May,Electronic City Phase Ii,2 Bhk,Sryalan,1200,2.0,1.0,34.65,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,4 Bhk,Snity S,2185,3.0,3.0,120.0,4
Built-Up Area,Ready To Move,Bagalur,4 Bhk,Krton S,2400,4.0,3.0,135.0,4
Super Built-Up Area,Ready To Move,Banashankari,2 Bhk,Grrvagr,1195,2.0,1.0,35.84,4
Super Built-Up Area,Ready To Move,Bannerghatta Road,2 Bhk,Gundaa,1012,2.0,1.0,45.0,4
Super Built-Up Area,Ready To Move,Ganga Nagar,2 Bhk,Grrvagr,998,2.0,2.0,65.0,4
Plot Area,Ready To Move,Doddaballapur,3 Bedroom,Grrvagr,2400,3.0,1.0,250.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Brnia G,1130,2.0,2.0,85.0,4
Super Built-Up Area,Ready To Move,Koramangala,3 Bhk,Proodt,1744,4.0,1.0,210.0,4
Super Built-Up Area,18-Jul,Rajaji Nagar,4 Bhk,Prodswe,2733,5.0,2.0,259.0,4
Super Built-Up Area,Ready To Move,Karuna Nagar,3 Bhk,Ajnue A,1354,2.0,1.0,98.0,4
Plot Area,Ready To Move,Maruthi Nagar,10 Bedroom,Grrvagr,3300,9.0,2.0,450.0,4
Super Built-Up Area,Ready To Move,Brookefield,2 Bhk,Stlomg,1389,2.0,2.0,94.0,4
Plot Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm,2970,3.0,3.0,130.0,4
Super Built-Up Area,Ready To Move,Cooke Town,3 Bhk,Sagalhi,2560,4.0,2.0,310.0,4
Super Built-Up Area,Ready To Move,Lakshminarayana Pura,2 Bhk,Grrvagr,1172,2.0,2.0,75.0,4
Plot Area,Ready To Move,5Th Block Jayanagar,3 Bedroom,Grrvagr,500,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Kaggadasapura,3 Bhk,Grrvagr,1495,3.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Varthur,2 Bhk,Dsingst,1738,2.0,1.0,57.35,4
Super Built-Up Area,Ready To Move,Dodda Nekkundi,2 Bhk,Grrvagr,1315,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Xeitaa,1270,2.0,3.0,73.0,4
Super Built-Up Area,18-May,Electronic City Phase Ii,2 Bhk,Snbay G,1160,2.0,1.0,52.2,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Grrvagr,1450,2.0,1.0,67.0,4
Built-Up Area,Ready To Move,Rayasandra,1 Bhk,Grrvagr,470,1.0,1.0,21.0,0
Built-Up Area,Ready To Move,2Nd Phase Jp Nagar,2 Bhk,Grrvagr,1040,2.0,2.0,78.0,4
Super Built-Up Area,Ready To Move,Sarjapur,2 Bhk,Grrvagr,1205,2.0,2.0,29.0,4
Super Built-Up Area,Ready To Move,Ksrtc Layout,3 Bhk,Grrvagr,1215,2.0,3.0,50.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Maoma P,1135,2.0,2.0,58.0,4
Super Built-Up Area,Ready To Move,8Th Phase Jp Nagar,3 Bhk,Mbodsen,1224,2.0,2.0,48.95,4
Built-Up Area,Ready To Move,Budigere,1 Bhk,Pritytr,664,1.0,1.0,34.0,0
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Itvir M,1160,2.0,2.0,42.0,4
Plot Area,Ready To Move,Babusapalaya,2 Bedroom,Grrvagr,1200,2.0,0.0,105.0,4
Built-Up Area,18-Aug,Bommasandra Industrial Area,3 Bhk,Grrvagr,1220,2.0,1.0,35.2,4
Super Built-Up Area,Ready To Move,Bharathi Nagar,2 Bhk,Foapewa,1328,2.0,2.0,69.0,4
Super Built-Up Area,Ready To Move,Bsm Extension,2 Bhk,Raave E,975,2.0,2.0,45.0,4
Built-Up Area,Ready To Move,Ambedkar Colony,3 Bhk,Rmcesa,1907,2.0,1.0,200.0,4
Built-Up Area,Ready To Move,Malleshwaram,2 Bhk,Beesta,900,2.0,1.0,72.0,4
Super Built-Up Area,Ready To Move,Banashankari 6Th Stage,2 Bhk,Grrvagr,1330,2.0,2.0,80.0,4
Super Built-Up Area,Ready To Move,Rajiv Nagar,4 Bhk,Puoodsk,2330,5.0,1.0,175.0,4
Built-Up Area,Ready To Move,Munnekollal,3 Bhk,Jrarlpe,1222,3.0,2.0,95.0,4
Plot Area,Ready To Move,Dodsworth Layout,3 Bedroom,Prleaou,4446,3.0,2.0,410.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Ahriaup,2100,3.0,1.0,135.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,4 Bhk,Adeatlm,3335,4.0,3.0,290.0,4
Built-Up Area,18-Apr,Whitefield,3 Bedroom,Prtates,3150,3.0,1.0,290.0,4
Plot Area,Ready To Move,Jnana Ganga Nagar,3 Bedroom,Grrvagr,1320,2.0,1.0,95.0,4
Plot Area,Ready To Move,9Th Phase Jp Nagar,7 Bedroom,Grrvagr,820,7.0,3.0,140.0,4
Plot Area,Ready To Move,Shetty Halli,5 Bedroom,Grrvagr,8000,5.0,3.0,550.0,4
Plot Area,Ready To Move,Hennur Road,4 Bedroom,Grrvagr,2400,5.0,3.0,500.0,4
Plot Area,Ready To Move,Hosur Road,4 Bedroom,Krineaq,2000,4.0,1.0,130.0,4
Super Built-Up Area,18-Jun,Electronic City Phase Ii,2 Bhk,Coomee,1244,2.0,1.0,55.0,4
Super Built-Up Area,Ready To Move,Konena Agrahara,2 Bhk,Esadens,1000,2.0,1.0,50.0,4
Super Built-Up Area,18-May,Gunjur Palya,3 Bhk,Grrvagr,1400,3.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Vignana Nagar,2 Bhk,Phens G,1000,2.0,2.0,35.0,4
Plot Area,Ready To Move,Rajaji Nagar,2 Bedroom,Grrvagr,1056,1.0,0.0,250.0,0
Super Built-Up Area,19-Jun,Hebbal,4 Bhk,Raard B,2470 - 2790,5.0,0.0,188.0,4
Super Built-Up Area,18-Aug,Jeevan Bima Nagar,2 Bhk,Grrvagr,1225,2.0,2.0,48.0,4
Super Built-Up Area,19-Jun,Hebbal,4 Bhk,Raard B,2790,5.0,3.0,198.0,4
Super Built-Up Area,Ready To Move,Indira Nagar,4 Bhk,Grrvagr,2800,4.0,3.0,365.0,4
Super Built-Up Area,Ready To Move,Seegehalli,3 Bhk,Niowshi,1683,3.0,3.0,80.0,4
Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Adniask,1250,2.0,2.0,54.0,4
Super Built-Up Area,Ready To Move,Hennur Road,3 Bhk,Maity W,1305,2.0,1.0,110.0,4
Plot Area,Ready To Move,Sarjapur Road,3 Bedroom,Grrvagr,3009,3.0,1.0,331.0,4
Super Built-Up Area,Ready To Move,Kaggalipura,3 Bhk,Baowsig,1150,2.0,1.0,57.5,4
Built-Up Area,Ready To Move,Kaggadasapura,3 Bhk,Clsto C,1654,3.0,3.0,70.0,4
Carpet Area,Ready To Move,Munivenkatppa Layout,4 Bhk,Trntska,4500,3.0,0.0,225.0,4
Super Built-Up Area,18-May,Kadugodi,3 Bhk,Alestrb,1890,4.0,3.0,125.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,2 Bhk,Grrvagr,1069,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,Chandapura,2 Bhk,Khityry,750,1.0,1.0,18.5,0
Plot Area,Ready To Move,Banashankari,4 Bedroom,Grrvagr,675,4.0,0.0,140.0,4
Built-Up Area,17-Dec,Hormavu,3 Bedroom,Grrvagr,2400,3.0,1.0,177.0,4
Plot Area,Ready To Move,2Nd Stage Nagarbhavi,5 Bedroom,Grrvagr,1200,4.0,2.0,240.0,4
Plot Area,Ready To Move,Koramangala,4 Bedroom,Grrvagr,1410,2.0,0.0,280.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Eladero,1680,3.0,3.0,130.0,4
Super Built-Up Area,Ready To Move,Sadanand Nagar,3 Bhk,Grrvagr,3500,4.0,2.0,500.0,4
Super Built-Up Area,18-Jul,Sarjapur Road,3 Bhk,Pualesk,1700,3.0,2.0,93.5,4
Plot Area,Ready To Move,Brindavan Layout,4 Bedroom,Grrvagr,2200,2.0,0.0,150.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Bhmesy,1595,3.0,1.0,105.0,4
Super Built-Up Area,15-Nov,Hennur Road,3 Bhk,Grrvagr,1480,3.0,2.0,100.0,4
Plot Area,Ready To Move,Bethel Nagar,3 Bedroom,Grrvagr,1092,3.0,1.0,95.0,4
Super Built-Up Area,19-Sep,Koramangala,3 Bhk,Prood P,1866,4.0,2.0,245.0,4
Super Built-Up Area,Ready To Move,Hebbal,3 Bhk,Rmudeat,3895,3.0,2.0,390.0,4
Super Built-Up Area,Ready To Move,Banashankari,3 Bhk,Grrvagr,1683,3.0,2.0,115.0,4
Super Built-Up Area,Ready To Move,Dasanapura,2 Bhk,Tavenew,545,2.0,1.0,22.34,4
Super Built-Up Area,Ready To Move,Banaswadi,2 Bhk,Grrvagr,1340,2.0,2.0,73.0,4
Built-Up Area,21-Dec,"Judicial Layout, Kanakapura Road,",3 Bhk,Grrvagr,1100,3.0,2.0,53.0,4
Plot Area,Ready To Move,Akshaya Nagar,1 Bedroom,Grrvagr,2000,1.0,0.0,200.0,0
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Sriffhi,1185,2.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,Haralur Road,3 Bhk,Dsimaul,1730,3.0,1.0,95.0,4
Super Built-Up Area,19-Sep,Hennur Road,3 Bhk,Orens G,1450,3.0,1.0,88.6,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Ceiti I,1862,4.0,1.0,110.0,4
Plot Area,Ready To Move,Sarjapur Road,4 Bedroom,Adeatlm,4000,5.0,1.0,578.0,4
Built-Up Area,Ready To Move,Old Madras Road,3 Bhk,Brica E,2430,5.0,2.0,180.0,4
Super Built-Up Area,20-Sep,Hoodi,1 Bhk,Ranuetz,783 - 943,1.0,0.0,40.55,0
Super Built-Up Area,Ready To Move,Chambenahalli,2 Bhk,Grrvagr,1170,2.0,3.0,50.0,4
Super Built-Up Area,Ready To Move,B Narayanapura,2 Bhk,Prionve,1075,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Kodichikkanahalli,2 Bhk,Niiewin,1060,2.0,1.0,34.0,4
Super Built-Up Area,17-Jun,Sarjapur,2 Bhk,Grrvagr,850,2.0,2.0,32.0,4
Super Built-Up Area,Ready To Move,P&T Layout,2 Bhk,Sashaa,935,2.0,1.0,45.9,4
Built-Up Area,Ready To Move,Gollarapalya Hosahalli,4 Bhk,Mauner,1905,3.0,2.0,86.0,4
Built-Up Area,Ready To Move,8Th Block Jayanagar,6 Bedroom,Grrvagr,2000,6.0,3.0,300.0,4
Plot Area,Ready To Move,9Th Phase Jp Nagar,6 Bedroom,Grrvagr,600,6.0,2.0,75.0,4
Built-Up Area,Ready To Move,Chikkabanavar,4 Bedroom,Grrvagr,1500,4.0,1.0,105.0,4
Built-Up Area,Ready To Move,Bannerghatta Road,3 Bhk,Malmser,1725,3.0,3.0,85.0,4
Super Built-Up Area,Ready To Move,Dodda Banaswadi,2 Bhk,Grrvagr,1120,2.0,3.0,36.0,4
Super Built-Up Area,Ready To Move,Brookefield,3 Bhk,Vaontos,1750,2.0,2.0,75.0,4
Super Built-Up Area,18-Jul,7Th Phase Jp Nagar,3 Bhk,Grrvagr,2000,3.0,2.0,77.0,4
Built-Up Area,Ready To Move,Koramangala,3 Bhk,Saa 2Ai,1745,3.0,3.0,98.0,4
Plot Area,Ready To Move,Bagalakunte,5 Bedroom,Grrvagr,750,3.0,1.0,95.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Ayaya A,1270,2.0,2.0,55.25,4
Super Built-Up Area,Ready To Move,Iblur Village,5 Bhk,Emine P,5384,5.0,3.0,420.0,4
Super Built-Up Area,Ready To Move,Sahakara Nagar,2 Bhk,Ncensun,1180,2.0,2.0,72.0,4
Built-Up Area,Ready To Move,Shanti Nagar,2 Bhk,Swionma,1130,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Ardendale,3 Bhk,Soystam,1723,3.0,2.0,95.0,4
Built-Up Area,Ready To Move,Mysore Road,2 Bhk,Prntaen,1175,2.0,2.0,70.5,4
Super Built-Up Area,Ready To Move,Ambalipura,3 Bhk,Dimes E,1607,2.0,2.0,112.0,4
Built-Up Area,18-May,Varanasi,2 Bhk,Ocuil T,1334,2.0,1.0,62.0,4
Built-Up Area,Ready To Move,Vishwapriya Layout,5 Bedroom,Grrvagr,2800,5.0,3.0,130.0,4
Super Built-Up Area,19-Dec,Bannerghatta,2 Bhk,Grrvagr,1113,2.0,1.0,70.0,4
Built-Up Area,Ready To Move,9Th Phase Jp Nagar,3 Bhk,Naensga,1300,2.0,2.0,58.0,4
Plot Area,Ready To Move,Judicial Layout,4 Bedroom,Grrvagr,2400,4.0,2.0,350.0,4
Built-Up Area,Ready To Move,Sahakara Nagar,2 Bhk,Grrvagr,1200,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Cooketown,3 Bhk,Grrvagr,1900,3.0,2.0,190.0,4
Super Built-Up Area,Ready To Move,Jakkur,4 Bhk,Lecco C,5150,4.0,3.0,559.0,4
Plot Area,Ready To Move,2Nd Stage Nagarbhavi,5 Bedroom,Grrvagr,1200,5.0,2.0,290.0,4
Super Built-Up Area,18-Dec,Whitefield,4 Bhk,Goted U,2956,5.0,2.0,234.0,4
Plot Area,Ready To Move,Begur Road,5 Bedroom,Grrvagr,1100,5.0,1.0,165.0,4
Super Built-Up Area,18-May,Panathur,2 Bhk,Prcesvy,1398,2.0,1.0,97.0,4
Plot Area,Ready To Move,Margondanahalli,2 Bedroom,Grrvagr,1152,1.0,0.0,66.0,0
Plot Area,Ready To Move,Rajarajeshwarinagar,4 Bedroom,Grrvagr,1200,5.0,2.0,325.0,4
Super Built-Up Area,Ready To Move,Nagavara,2 Bhk,Grrvagr,1110,2.0,2.0,44.95,4
Built-Up Area,Ready To Move,Devarachikkanahalli,2 Bhk,Sarch M,1116,2.0,1.0,47.0,4
Super Built-Up Area,Ready To Move,Babusapalaya,2 Bhk,Arngsd,1061,2.0,1.0,33.84,4
Super Built-Up Area,Ready To Move,Malleshwaram,1 Bhk,Grrvagr,620,1.0,1.0,86.8,0
Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Shana S,1270,2.0,2.0,57.0,4
Super Built-Up Area,18-Apr,Peenya,2 Bhk,Grrvagr,966,2.0,2.0,50.0,4
Plot Area,Ready To Move,Ams Layout,4 Bedroom,Grrvagr,1200,4.0,1.0,110.0,4
Plot Area,Ready To Move,Kodigehalli,4 Bedroom,Grrvagr,1320,4.0,3.0,249.0,4
Super Built-Up Area,Ready To Move,Iblur Village,4 Bhk,Emine P,3596,5.0,1.0,297.0,4
Super Built-Up Area,18-May,Kathriguppe Iv Phase,3 Bhk,Grrvagr,1630,3.0,2.0,131.0,4
Super Built-Up Area,Ready To Move,Kodipalya,5 Bhk,Grrvagr,600,6.0,3.0,72.0,4
Plot Area,Ready To Move,Ramchandrapuram,4 Bedroom,Grrvagr,600,4.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Amruthahalli,2 Bhk,Veiewak,1202,2.0,1.0,65.0,4
Plot Area,Ready To Move,Pampa Extension,4 Bedroom,Grrvagr,1200,4.0,2.0,250.0,4
Built-Up Area,Ready To Move,Jakkur,2 Bhk,Grrvagr,1300,2.0,2.0,80.0,4
